SYMBOL,gain,TIMESTAMP
KRIDHANINF,0.17391308253864507,30-NOV-2022
ICICIFIN,0.16914280482700894,30-NOV-2022
TARMAT,0.15665026133870844,30-NOV-2022
RAJMET,0.1469534206999286,30-NOV-2022
CUBEXTUB,0.139261799735813,30-NOV-2022
BHANDARI,0.13675217158573788,30-NOV-2022
LIKHITHA,0.1264988009592326,30-NOV-2022
SIMPLEXINF,0.11574074074074074,30-NOV-2022
LATTEYS,0.10359411426881486,30-NOV-2022
ISGEC,0.10095344155521715,30-NOV-2022
TAJGVK,0.10004930341256923,30-NOV-2022
STCINDIA,0.09797827762200823,30-NOV-2022
SALASAR,0.09612398369367732,30-NOV-2022
CMRSL,0.0924370014714138,30-NOV-2022
DCM,0.09122810586851243,30-NOV-2022
RICOAUTO,0.0901034915581929,30-NOV-2022
CLOUD,0.0893009779186458,30-NOV-2022
VBL,0.08579496090356212,30-NOV-2022
GOCOLORS,0.08482695260509095,30-NOV-2022
HUDCO,0.0844353526417806,30-NOV-2022
MUKANDLTD,0.08313200925291817,30-NOV-2022
SAKAR,0.0805999755859375,30-NOV-2022
MORARJEE,0.08018862237791305,30-NOV-2022
DYNPROPP,0.07988489634620353,30-NOV-2022
"
		-------------------------------------------------------------------------------		
"
LUMAXIND,0.15025838216145834,11-NOV-2022
GILLANDERS,0.14742195716524273,11-NOV-2022
SWANENERGY,0.13078703703703703,11-NOV-2022
ROSSELLIND,0.12864170098499153,11-NOV-2022
BANSWRAS,0.12458236803587411,11-NOV-2022
IRFC,0.10668329929643335,11-NOV-2022
SIGMA,0.10479110837218797,11-NOV-2022
ZOMATO,0.10303034926905777,11-NOV-2022
HNDFDS,0.10295860395864152,11-NOV-2022
EROSMEDIA,0.10288066166632576,11-NOV-2022
COCHINSHIP,0.100689697265625,11-NOV-2022
LOTUSEYE,0.09784177052888939,11-NOV-2022
SAKSOFT,0.09771210534702726,11-NOV-2022
GLFL,0.09302316297384026,11-NOV-2022
IBULHSGFIN,0.0918285560923694,11-NOV-2022
MELSTAR,0.08333325054910777,11-NOV-2022
NYKAA,0.08170706586381267,11-NOV-2022
RPGLIFE,0.07631042347655335,11-NOV-2022
DCXINDIA,0.07473871849139808,11-NOV-2022
SREIBNPNCD,0.07375143538509701,11-NOV-2022
ARVSMART,0.07236086795975288,11-NOV-2022
SMSPHARMA,0.06785715842733578,11-NOV-2022
KENNAMET,0.06393640112450298,11-NOV-2022
ARROWGREEN,0.0632478762895633,11-NOV-2022
ALLCARGO,0.06304193374016762,11-NOV-2022
"
		-------------------------------------------------------------------------------		
"
COMP-RE,0.36585366704646943,29-NOV-2022
LFIC,0.18578428380629597,29-NOV-2022
BCLIND,0.16564885496183207,29-NOV-2022
RITEZONE,0.16209476926027405,29-NOV-2022
SBC,0.15384615384615385,29-NOV-2022
NAGREEKEXP,0.14877101611884722,29-NOV-2022
NILAINFRA,0.13986007130416028,29-NOV-2022
PFOCUS,0.13655849745875293,29-NOV-2022
ALKALI,0.13411567133873808,29-NOV-2022
NIACL,0.12524465199583323,29-NOV-2022
BHANDARI,0.12121220294729687,29-NOV-2022
DYNPROPP,0.11982085418008243,29-NOV-2022
SREIBNPNCD,0.11378683444903463,29-NOV-2022
RADHIKAJWE,0.10528166864959287,29-NOV-2022
TIDEWATER,0.1038385088874003,29-NOV-2022
CHEMBOND,0.10170864292441331,29-NOV-2022
ADFFOODS,0.10060001627604166,29-NOV-2022
SHIGAN,0.09803921568627451,29-NOV-2022
ACCELYA,0.09686459679994512,29-NOV-2022
SHRADHA,0.09266726648504076,29-NOV-2022
SHUBHLAXMI,0.0894117467543658,29-NOV-2022
DKEGL,0.08802182256132489,29-NOV-2022
WEWIN,0.0861678726358175,29-NOV-2022
VISESHINFO,0.08333325054910777,29-NOV-2022
DCM,0.08089170030727508,29-NOV-2022
"
		-------------------------------------------------------------------------------		
"
BLBLIMITED,0.21391751031615092,07-DEC-2022
HECPROJECT,0.1993619782009827,07-DEC-2022
